EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
03.03.2000,27.5193,27.2949,27.5898,24.7979,29.1156,28.6770,29.0073,27.2209,24.6031
06.03.2000,27.7329,28.3113,27.6247,26.2128,29.4430,28.9398,28.6876,27.3570,24.8290
07.03.2000,28.4641,29.4486,28.3115,26.6101,29.9715,29.4822,29.2284,27.7544,25.1021
08.03.2000,29.5076,30.7897,29.3456,27.2484,30.4042,30.3460,30.0711,28.3884,25.5444
09.03.2000,29.2994,30.2542,29.2037,27.1679,30.3897,30.2006,30.1823,28.3958,25.5516
10.03.2000,28.2310,27.9698,28.2510,26.5351,29.6880,29.6938,29.5954,28.2157,25.4596
13.03.2000,31.1377,38.4101,30.8966,28.2295,32.1913,32.3698,31.4675,30.4648,26.3143
14.03.2000,30.9028,37.6151,30.7631,28.1237,31.6011,31.3711,30.8669,29.1468,25.8944
15.03.2000,31.5052,43.8550,31.3554,27.8568,32.5133,31.8063,31.1013,29.3380,25.9024
16.03.2000,31.4462,NA,30.5311,27.7484,31.4990,30.9793,30.4075,28.8078,25.6898
17.03.2000,31.0922,NA,30.4206,27.8132,31.3451,31.0503,30.2888,28.6280,25.5983
20.03.2000,29.5358,29.4377,27.5185,30.3280,30.1717,29.7778,12.9356,28.1394,25.3061
21.03.2000,29.1204,29.1511,27.0948,29.9159,30.1496,29.4736,22.6261,28.3244,25.3432
22.03.2000,28.9261,29.1020,26.8680,29.6469,29.8293,29.4069,22.5225,28.1716,24.8972
23.03.2000,28.5267,28.8024,26.8500,29.7279,29.5688,29.2033,22.4536,28.1742,24.9338
24.03.2000,27.0158,27.2766,25.9924,28.0485,28.6037,28.6033,21.9542,27.3805,24.5952
27.03.2000,27.0584,27.6765,26.0087,27.6584,28.3894,28.5671,22.0902,27.5211,24.5114
28.03.2000,26.4310,27.2156,25.3545,27.1818,27.9565,27.8655,21.7691,26.8685,24.2163
29.03.2000,25.4628,26.2776,24.5506,26.6647,27.2149,27.0542,21.3601,26.2709,23.7111
30.03.2000,27.7869,29.2776,26.3830,28.6674,28.7896,28.6170,21.9867,27.1083,24.2299
31.03.2000,27.2370,28.8112,26.0042,28.7020,28.8309,28.3918,22.0021,27.1206,24.1824
03.04.2000,28.1790,31.1902,26.7577,29.7460,29.9134,29.4312,22.8390,28.4332,24.3828
04.04.2000,27.8205,30.7131,26.6846,29.4745,29.5160,29.2210,22.2403,27.9683,24.2939
05.04.2000,32.0695,37.8865,30.0712,33.1178,32.4326,31.6168,23.7436,30.1994,26.4059
06.04.2000,28.7791,31.8804,27.9387,30.1087,30.0408,29.4735,22.8335,27.9221,24.6642
07.04.2000,26.6260,28.1409,26.2985,28.5068,29.0015,28.8436,22.1734,26.7773,24.0613
10.04.2000,26.9387,29.7717,26.6108,28.6772,29.0577,28.6813,22.0701,26.5842,23.9456
11.04.2000,28.1435,33.5138,27.6389,30.4899,30.4380,29.8680,22.7797,27.1805,24.2563
12.04.2000,27.6432,32.4267,27.3066,29.9621,30.0699,29.6530,22.5436,27.1197,24.2097
13.04.2000,27.8573,32.6433,27.6118,30.4032,30.1685,29.6098,22.4405,27.0561,24.1987
14.04.2000,28.4070,35.4810,28.1459,32.2560,31.3944,30.7723,25.5773,28.6794,24.5422
17.04.2000,30.7758,46.0036,30.6679,33.8638,32.5823,31.5177,25.8501,28.9844,24.5454
18.04.2000,30.2799,44.6345,30.2520,32.5165,31.8807,30.9882,26.4844,28.4321,24.7603
19.04.2000,28.2189,NA,28.1671,31.2862,31.0241,30.2804,25.8577,27.7699,24.7986
20.04.2000,27.2314,NA,27.0231,29.4325,29.8611,29.4441,25.8104,28.4376,24.9453
25.04.2000,28.3096,27.5670,29.4621,13.7447,29.4729,28.8670,25.1354,27.8531,24.5520
26.04.2000,28.2941,27.5793,29.1894,14.6408,29.2041,28.7450,25.4692,28.0536,24.7636
27.04.2000,29.9862,28.9206,31.0668,17.2848,30.3087,29.6449,26.4302,29.0316,25.2390
28.04.2000,28.1330,26.7859,29.2498,16.5177,29.1005,28.6148,25.5024,27.9495,24.8071
02.05.2000,28.7111,27.8344,29.0700,16.0874,28.5502,28.5862,25.1669,27.4004,24.5738
03.05.2000,29.8878,29.1115,30.1537,19.9180,29.1628,29.3378,25.2503,26.5935,24.0869
04.05.2000,29.5658,29.1515,29.6847,19.9538,29.0953,28.9545,25.5653,27.8675,24.7909
05.05.2000,28.1957,26.3451,28.6205,19.5748,28.4492,28.4852,25.3104,27.6800,24.6154
08.05.2000,28.7495,28.0965,28.8312,19.7276,28.7810,28.6213,25.4087,27.8630,24.6410
09.05.2000,29.2943,28.9996,29.3234,19.2005,29.0897,28.9511,25.6083,27.8654,24.5535
10.05.2000,30.0209,30.1083,30.0143,20.8130,29.6189,29.2425,25.7929,28.0641,24.7074
11.05.2000,27.7294,27.3474,27.7508,20.6985,28.3756,28.2389,25.1013,27.3317,24.2590
12.05.2000,27.0581,26.2424,27.0902,23.3096,28.0009,27.9950,25.0855,26.9760,24.0138
15.05.2000,28.1816,31.0823,28.1571,23.9420,28.3361,28.2975,25.1098,27.2005,24.1827
16.05.2000,26.8223,31.2538,26.8101,22.7827,27.2370,27.3913,24.5951,26.4412,24.0448
17.05.2000,27.2548,34.2655,27.3039,23.5850,27.7885,27.8330,24.9822,26.9510,23.9418
18.05.2000,26.2945,NA,26.5261,23.2317,27.5280,27.3645,24.6676,26.6953,23.8191
19.05.2000,28.5293,NA,29.1358,24.2166,29.0794,28.4630,25.3251,27.4186,24.2271
22.05.2000,29.7029,31.3820,25.3034,13.6256,29.5559,29.0555,25.5313,27.7161,24.3888
23.05.2000,28.7434,30.5001,25.1349,16.4000,29.5810,29.0920,25.5114,27.6020,24.3286
24.05.2000,28.8636,31.0928,25.1145,19.6402,30.0236,29.3354,25.8069,27.9713,24.5618
25.05.2000,27.3632,29.0448,25.1079,21.3260,29.0501,28.5810,25.3580,27.3562,24.1313
26.05.2000,26.7763,28.5798,24.7617,21.3174,28.7869,28.4036,25.2652,27.1216,24.1346
29.05.2000,26.2538,28.2087,24.9500,21.7931,28.7386,28.2700,25.3012,26.9799,24.1052
30.05.2000,25.6275,27.4243,24.6161,21.8037,28.0534,27.7840,24.9084,26.6738,23.7917
31.05.2000,25.2594,27.0774,24.3904,21.9395,27.9404,27.7258,24.9672,26.6486,23.9182
01.06.2000,24.1361,26.1957,23.2940,21.4891,27.0621,27.0066,24.4022,26.3963,23.9180
02.06.2000,22.7580,25.5038,21.7864,20.9119,26.7728,26.7523,23.8027,26.4212,23.6471
05.06.2000,23.4487,26.0680,22.9087,21.2652,27.3054,27.0675,24.2826,26.0971,23.6424
06.06.2000,24.1594,26.5922,23.7488,21.7581,27.6088,27.3278,24.6429,26.4148,23.9991
07.06.2000,24.3745,26.7239,24.0523,21.8889,27.8223,27.5777,24.9081,26.5146,23.9588
08.06.2000,24.1118,26.4062,23.8596,21.8153,27.6557,27.4713,24.7665,26.5813,23.6257
09.06.2000,24.3139,24.5605,24.2935,21.4048,26.8967,27.0135,24.5565,26.2886,23.5730
12.06.2000,24.5714,27.0343,24.4871,21.5188,27.1221,27.1677,24.6002,26.2872,23.6023
13.06.2000,24.1788,28.5279,24.0793,21.4045,26.8709,27.1056,24.4143,25.8097,23.4623
14.06.2000,23.2305,27.6116,23.1750,20.5440,26.0040,26.2028,24.7219,25.2399,23.0737
15.06.2000,24.1161,NA,23.1382,20.7338,25.8071,26.2297,24.6925,25.3761,23.1612
16.06.2000,23.5510,NA,22.8600,20.7997,25.5784,26.1506,24.6479,25.4052,23.1462
19.06.2000,23.0801,22.8336,20.7737,25.2435,25.9969,24.3085,24.9015,22.7399,13.2214
20.06.2000,22.3126,22.2232,20.4946,24.6895,25.5600,24.1419,24.9826,22.9904,13.0175
21.06.2000,22.7090,22.7396,20.7054,25.0170,25.9881,24.5069,25.5160,23.1796,15.1617
22.06.2000,22.7119,22.8697,20.8911,25.2243,25.9819,24.5742,25.6056,23.2299,15.2374
23.06.2000,22.6095,22.9217,20.7207,25.1306,25.7929,24.4712,25.8066,23.2882,15.2924
